id,listing_id,make,model,title,url,price,mileage,fuel_type,first_registration,power,transmission,seller_type,location,scraped_date,scraped_timestamp,is_active,created_at,updated_at
4711,a42cc0ee-2395-4c8e-b478-ff53875190bd,bmw,5,BMW 750XDrive JUSQU'A 48 MOIS DE GARANTIE,,43500.0,101000,Diesel,04-2017,,,Händler,,2026-07-16T06:30:13.879851,1784183413,1,2026-01-29 05:14:30,2026-07-16 06:30:13
4805,022cf134-1b6a-472a-a361-aa428d488617,bmw,5,BMW 123xDrive M Sport,,49110.0,0,2,new,,,Händler,,2026-07-16T06:30:13.881842,1784183413,1,2026-01-30 05:17:40,2026-07-16 06:30:13
4827,87665129-2e56-46e5-903c-81eea34cf7d4,bmw,5,BMW X1sDrive20i Pack M Pro,,46900.0,5000,Benzin,06-2025,,,Händler,,2026-07-16T06:30:13.880251,1784183413,1,2026-01-31 05:10:21,2026-07-16 06:30:13
4832,0c17c9cf-7b59-4a2e-881e-b879dce821e2,bmw,5,BMW iX230xDrive M Sport M Sportpaket Head-Up DAB,,40680.0,36200,Elektro,02-2024,,,Händler,,2026-07-16T06:30:13.881043,1784183413,1,2026-01-31 05:10:21,2026-07-16 06:30:13
4898,6e2293fd-a738-4c7d-a9fa-73a158d6a4cb,bmw,5,BMW 118d DAB LED Komfortzg. Parkassistent Klimaaut.,,30990.0,22300,Diesel,11-2025,,,Händler,,2026-07-16T06:30:13.883459,1784183413,1,2026-02-02 05:32:54,2026-07-16 06:30:13
4925,b9f34685-8992-4c70-afdb-32f4d2587a65,bmw,5,BMW 120d M Sport M Sportpaket Garantie Usine bis 2030,,37500.0,21200,Diesel,10-2024,,,Händler,,2026-07-16T06:30:13.881438,1784183413,1,2026-02-03 05:22:59,2026-07-16 06:30:13
4979,b1819e67-c9d0-457a-98d1-b0e0181cd2e7,bmw,5,BMW 330330i M-Sport Touring xDrive 245CV * Hayon * ACC *,,38990.0,12255,Benzin,02-2025,,,Händler,,2026-07-16T06:30:13.878230,1784183413,1,2026-02-05 05:25:13,2026-07-16 06:30:13
6433,58d99225-c1c6-401c-90fc-e0575575bce4,bmw,5,BMW 330PACK M,,41500.0,10850,Benzin,05-2025,,,Händler,,2026-07-16T06:30:13.877012,1784183413,1,2026-03-31 05:52:04,2026-07-16 06:30:13
6475,a00ed3f9-83ca-452b-b865-7e728e249f6c,bmw,5,BMW 135Baureihe 1 Lim. M135 i xDrive,,39990.0,8500,Benzin,05-2023,,,Händler,,2026-07-16T06:30:13.882234,1784183413,1,2026-04-01 06:05:00,2026-07-16 06:30:13
6591,2d96d31c-8b7b-4442-8054-cb7ae1febed3,bmw,5,BMW 530530d Touring Sport-Aut.,,20900.0,145000,Diesel,08-2016,,,Privat,,2026-07-16T06:30:13.876564,1784183413,1,2026-04-06 06:08:02,2026-07-16 06:30:13
6769,23bcf087-2b1a-4145-b628-d9ff1c424d5f,bmw,5,BMW 320E46,,4900.0,253000,Benzin,12-1998,,,Privat,,2026-07-16T06:30:13.877414,1784183413,1,2026-04-16 06:12:16,2026-07-16 06:30:13
7716,60766444-6b41-45ba-9f51-3ee6acbb6d26,bmw,5,BMW X2X2 20dA 2.0 163cv Auto xDrive M-SPORT PRO (New Mo,,45970.0,13000,3,10-2024,,,Händler,,2026-07-16T06:30:13.880640,1784183413,1,2026-05-21 08:04:34,2026-07-16 06:30:13
