id,listing_id,make,model,title,url,price,mileage,fuel_type,first_registration,power,transmission,seller_type,location,scraped_date,scraped_timestamp,is_active,created_at,updated_at
7568,d011b472-faac-4620-af1a-23e1948a7ace,kia,ev9,"Kia EV9EV9 99,8-kWh AWD GT-line Launch Edition",,60000.0,35000,Elektro,06-2024,,,Privat,,2026-08-27T15:14:09.196085,1787843649,1,2026-05-18 08:16:56,2026-08-27 15:14:13
9784,d298a06b-8810-4589-9991-499ab8477e9f,kia,ev9,"Kia EV9EV9 99,8-kWh AWD GT-line",,69900.0,4000,Elektro,06-2025,,,Händler,,2026-08-27T15:14:09.196662,1787843649,1,2026-08-22 04:46:02,2026-08-27 15:14:13
9833,0f152f5c-f9cd-404e-b564-0410e8ce3ac2,kia,ev9,Kia EV9BEV 99.8 kWh GT Line AWD,,85420.0,10,Elektro,01-2026,,,Händler,,2026-08-27T15:14:09.197114,1787843649,1,2026-08-26 04:53:19,2026-08-27 15:14:13
9834,098c903e-2e1c-4de7-ae97-279e6afbe8f9,kia,ev9,Kia EV9BEV 99.8 kWh GT Line AWD,,85290.0,27000,Elektro,07-2025,,,Händler,,2026-08-27T15:14:09.197580,1787843649,1,2026-08-26 04:53:19,2026-08-27 15:14:13
