id,listing_id,make,model,title,url,price,mileage,fuel_type,first_registration,power,transmission,seller_type,location,scraped_date,scraped_timestamp,is_active,created_at,updated_at
2067,08501fb6-884b-4fb2-8ee6-2d85148351f7,bmw,430,BMW 430xDrive pack M - JUSQUA 48 MOIS DE GARANTIE,,47900.0,32125,Benzin,01-2024,,,Händler,,2026-03-22T05:26:16.468051,1774157176,1,2025-10-08 04:32:39,2026-03-22 05:26:20
5001,abb6258e-1136-476f-82c6-7e3754667f76,bmw,430,BMW 430xdrive PackM,,42900.0,59000,Benzin,05-2024,,,Händler,,2026-03-22T05:26:16.468503,1774157176,1,2026-02-06 05:22:30,2026-03-22 05:26:20
5378,7d1338c5-3b19-4b0c-aa16-808fef879d68,bmw,430,BMW 430i M SPORT Gran Coupe  Steptronic,,39990.0,38729,Benzin,02-2022,,,Händler,,2026-03-22T05:26:16.467385,1774157176,1,2026-02-20 05:22:56,2026-03-22 05:26:20
5677,f5e68d90-7bd2-42c1-8ef1-55812a82785a,bmw,430,BMW 430BMW 430i Cabrio Ext. Sportline Int. M Sport,,23500.0,42800,Benzin,05-2016,,,Privat,,2026-03-22T05:26:16.470328,1774157176,1,2026-03-03 05:20:58,2026-03-22 05:26:20
5863,8cec5a0c-7916-4eda-9deb-4236e5926e52,bmw,430,BMW 430430i Coupe M Sport,,35500.0,95500,Benzin,07-2021,,,Privat,,2026-03-22T05:26:16.469885,1774157176,1,2026-03-08 05:16:37,2026-03-22 05:26:20
6156,a8d4a101-15f3-4791-9d0f-6acd94affe7d,bmw,430,BMW 430M PACK,,23400.0,105000,Diesel,03-2014,,,Händler,,2026-03-22T05:26:16.468965,1774157176,1,2026-03-20 05:22:42,2026-03-22 05:26:20
6157,7f7c03ed-84c7-483c-87ca-d4478c96a13e,bmw,430,BMW 430430 i xDrive M Sport Cabriolet (OPF)(EURO 6d)  LED,,49900.0,32210,Benzin,07-2023,,,Händler,,2026-03-22T05:26:16.469410,1774157176,1,2026-03-20 05:22:42,2026-03-22 05:26:20
