make,model
mercedes-benz,a-180
mercedes-benz,a-200
mercedes-benz,c-200
mercedes-benz,c-220
bmw,120
audi,a3
audi,a4
audi,a1
volkswagen,golf
volkswagen,polo
bmw,320
bmw,330
bmw,420
bmw,430
bmw,520
bmw,530
bmw,x1
